episode_index,obj_x,obj_y,obj_z
150,-0.08404739,0.6231966,0.02
151,0.09015224,0.6752789,0.02
152,-0.08549284,0.63297606,0.02
153,-0.05586583,0.64956355,0.02
154,0.04333349,0.65975404,0.02
155,0.04581467,0.6815851,0.02
156,0.06451645,0.67846096,0.02
157,-0.0502052,0.64537424,0.02
158,0.033268444,0.6716022,0.02
159,-0.06731822,0.6924525,0.02
160,-0.06451127,0.6391888,0.02
161,0.08477153,0.6948035,0.02
162,0.045772113,0.62959415,0.02
163,0.05544924,0.6572879,0.02
164,-0.08420316,0.678037,0.02
165,-0.063480966,0.60588217,0.02
166,0.019896671,0.6701735,0.02
167,0.00015986772,0.68246007,0.02
168,0.046680454,0.6511781,0.02
169,-0.0697394,0.6026027,0.02
170,0.048270714,0.6017104,0.02
171,-0.08824372,0.6761258,0.02
172,-0.03825515,0.63215816,0.02
173,-0.016660469,0.6672829,0.02
174,0.05166406,0.68044466,0.02
175,-0.0029957292,0.6301653,0.02
176,-0.01918403,0.6616655,0.02
177,0.009918029,0.6270341,0.02
178,0.011101918,0.68734825,0.02
179,0.0632821,0.6663597,0.02
180,-0.022079987,0.605673,0.02
181,-0.036176067,0.63321877,0.02
182,0.07486497,0.64588153,0.02
183,-0.031621683,0.62453914,0.02
184,0.012775212,0.65690005,0.02
185,0.07730969,0.672226,0.02
186,-0.062230915,0.6269927,0.02
187,-0.014065346,0.60683775,0.02
188,-0.046152007,0.6355482,0.02
189,-0.059076108,0.6070541,0.02
190,-0.00087902066,0.6928835,0.02
191,-0.028878164,0.6106309,0.02
192,-0.038161594,0.61722034,0.02
193,0.020436736,0.6257169,0.02
194,-0.0677955,0.65635103,0.02
195,-0.020657487,0.6735091,0.02
196,0.050204843,0.65193206,0.02
197,0.04695209,0.67031336,0.02
198,0.09514379,0.6743712,0.02
199,0.02389557,0.63318366,0.02
200,-0.028515264,0.69096947,0.02
201,-0.046497624,0.61476046,0.02
202,0.0199214,0.6114325,0.02
203,0.018889716,0.69114566,0.02
204,-0.022831472,0.66086656,0.02
205,-0.0459398,0.6636303,0.02
206,-0.06562077,0.66684633,0.02
207,-0.030276641,0.6016384,0.02
208,-0.060810875,0.6140617,0.02
209,-0.04137706,0.6090369,0.02
210,-0.089521855,0.6861961,0.02
211,0.09281843,0.67824453,0.02
212,-0.092837,0.6833648,0.02
213,-0.025744498,0.61403143,0.02
214,-0.018724836,0.6017897,0.02
215,0.08318786,0.66077006,0.02
216,-0.017037272,0.6745337,0.02
217,-0.0048957793,0.6604275,0.02
218,0.017869122,0.6396338,0.02
219,-0.016251143,0.6859004,0.02
220,-0.04009053,0.69301075,0.02
221,0.030897943,0.6737589,0.02
222,-0.08122957,0.6783189,0.02
223,-0.0766666,0.66533357,0.02
224,0.042467788,0.63022554,0.02
225,0.02025082,0.6423796,0.02
226,-0.005276472,0.63964313,0.02
227,0.026484448,0.6714717,0.02
228,0.030732434,0.6110266,0.02
229,-0.025626846,0.66695905,0.02
230,-0.098689355,0.60197663,0.02
231,0.041671813,0.64832354,0.02
232,0.06957259,0.6562792,0.02
233,-0.07632523,0.64265066,0.02
234,0.07328586,0.6639522,0.02
235,0.06765219,0.6087924,0.02
236,0.09412692,0.6713682,0.02
237,0.016444417,0.6527126,0.02
238,-0.08746968,0.6057137,0.02
239,0.006560579,0.64911854,0.02
240,0.045347176,0.69710064,0.02
241,-0.09992128,0.66383755,0.02
242,0.025147079,0.6839842,0.02
243,0.04653278,0.6317624,0.02
244,0.098096855,0.6631038,0.02
245,0.09036726,0.6181183,0.02
246,-0.04180593,0.6998348,0.02
247,0.071248695,0.655183,0.02
248,-0.061118513,0.6509139,0.02
249,-0.05756857,0.6045464,0.02
250,0.016054723,0.6333899,0.02
251,0.0068787327,0.63691264,0.02
252,-0.043632142,0.68969554,0.02
253,0.0024369343,0.6929138,0.02
254,0.0511014,0.6207364,0.02
255,-0.02253365,0.61798424,0.02
256,0.008879112,0.6523175,0.02
257,-0.035138845,0.62492216,0.02
258,0.079526365,0.64264584,0.02
259,0.0621863,0.66050506,0.02
260,0.077689715,0.6149571,0.02
261,0.08883124,0.6142929,0.02
262,-0.08697638,0.6201857,0.02
263,0.09830216,0.63996404,0.02
264,0.011301568,0.64922285,0.02
265,-0.071594425,0.66628116,0.02
266,0.099957824,0.6119984,0.02
267,-0.029176284,0.6901984,0.02
268,-0.09701113,0.60091114,0.02
269,0.066384844,0.68564284,0.02
270,-0.036368996,0.65002537,0.02
271,-0.0424245,0.6542441,0.02
272,-0.055521227,0.6282978,0.02
273,-0.07660954,0.64621025,0.02
274,0.09125813,0.6125301,0.02
275,-0.07669647,0.68272233,0.02
276,0.09067371,0.6505629,0.02
277,0.060273554,0.6672302,0.02
278,0.064476274,0.6554585,0.02
279,0.08910458,0.6672867,0.02
280,-0.00022011231,0.6122267,0.02
281,-0.03139858,0.6291138,0.02
282,-0.023019703,0.60102105,0.02
283,-0.06615559,0.6672289,0.02
284,-0.08018448,0.67941177,0.02
285,0.04578965,0.6312493,0.02
286,-0.067324005,0.6013164,0.02
287,0.09103026,0.6033358,0.02
288,-0.058906123,0.6593368,0.02
289,-0.016527008,0.64238197,0.02
290,0.093343884,0.65839267,0.02
291,-0.03012548,0.6631552,0.02
292,0.02204346,0.6416112,0.02
293,-0.09884159,0.61659557,0.02
294,-0.030187188,0.6842635,0.02
295,0.067503475,0.6844565,0.02
296,0.0105322935,0.6584044,0.02
297,0.04395319,0.60861415,0.02
298,-0.045347337,0.68717974,0.02
299,0.01872452,0.6441587,0.02
300,0.062218875,0.6400791,0.02
301,-0.06161287,0.60098064,0.02
302,0.009133314,0.61316013,0.02
303,-0.062593445,0.63603,0.02
304,0.020500088,0.68903077,0.02
305,0.09620683,0.6444359,0.02
306,0.099439636,0.6344755,0.02
307,-0.0023467797,0.6426148,0.02
308,-0.07421952,0.6857416,0.02
309,-0.046042137,0.6180463,0.02
310,-0.087853186,0.6660208,0.02
311,-0.04112417,0.64282984,0.02
312,-0.012779048,0.6684505,0.02
313,0.0739175,0.6172401,0.02
314,0.045590296,0.626048,0.02
315,-0.077503406,0.69817305,0.02
316,-0.0072547323,0.6180962,0.02
317,0.011928813,0.66782016,0.02
318,-0.095150925,0.6746197,0.02
319,0.05026692,0.6951066,0.02
320,-0.09567477,0.6077109,0.02
321,0.08151075,0.688407,0.02
322,-0.060159475,0.61074215,0.02
323,0.099797845,0.66440636,0.02
324,-0.05125156,0.6599075,0.02
325,0.05995221,0.67903847,0.02
326,-0.0515642,0.6435367,0.02
327,-0.094205625,0.6373904,0.02
328,0.0837623,0.6980361,0.02
329,-0.0028335527,0.6311371,0.02
330,0.026241217,0.66606957,0.02
331,0.08739593,0.68378705,0.02
332,-0.083818674,0.65866494,0.02
333,-0.07909396,0.6097438,0.02
334,0.05986747,0.6106531,0.02
335,0.057481233,0.6449868,0.02
336,0.029507902,0.6839106,0.02
337,-0.0320861,0.63884133,0.02
338,-0.08094283,0.6478767,0.02
339,-0.08741498,0.6894838,0.02
340,-0.03245011,0.61165196,0.02
341,-0.08403015,0.6034111,0.02
342,-0.013493078,0.63762176,0.02
343,0.086366326,0.6108573,0.02
344,0.015179812,0.6492627,0.02
345,0.04210808,0.6451392,0.02
346,-0.096332334,0.66331315,0.02
347,0.011720494,0.6069,0.02
348,-0.030078635,0.6197317,0.02
349,0.060544696,0.69904554,0.02
350,-0.006253185,0.6661033,0.02
351,0.09578729,0.69873416,0.02
352,-0.076093726,0.6643251,0.02
353,-0.08224769,0.67506814,0.02
354,0.09075542,0.649476,0.02
355,0.025756277,0.6199337,0.02
356,-0.053035926,0.6105562,0.02
357,0.023319805,0.66493744,0.02
358,-0.03558529,0.65850955,0.02
359,0.02182161,0.6310132,0.02
360,0.029894076,0.6208787,0.02
361,-0.017940277,0.6506156,0.02
362,0.08938015,0.62234896,0.02
363,0.07497227,0.60371757,0.02
364,-0.022566462,0.6657842,0.02
365,0.053325154,0.6305013,0.02
366,0.013118393,0.6152647,0.02
367,0.08204886,0.6961507,0.02
368,-0.082965404,0.63500726,0.02
369,-0.028449427,0.65244013,0.02
370,-0.058343604,0.6206069,0.02
371,0.07699392,0.64657354,0.02
372,0.09452662,0.61886686,0.02
373,0.051989645,0.6415432,0.02
374,0.07218943,0.6066368,0.02
375,0.088382475,0.6293474,0.02
376,0.052341998,0.65665764,0.02
377,-0.0017050874,0.6174394,0.02
378,-0.0960503,0.60963386,0.02
379,-0.098917045,0.67282146,0.02
380,-0.023371132,0.6590211,0.02
381,0.037199177,0.6261144,0.02
382,-0.03449101,0.67423046,0.02
383,-0.0634848,0.69904816,0.02
384,0.039967075,0.65440893,0.02
385,0.081893,0.6567046,0.02
386,-0.018451603,0.61149275,0.02
387,0.097956,0.6035677,0.02
388,-0.0041734977,0.6096327,0.02
389,-0.070599996,0.62819636,0.02
390,-0.031090068,0.69690853,0.02
391,-0.088088766,0.6141272,0.02
392,0.049634885,0.6147261,0.02
393,-0.06877983,0.6682833,0.02
394,0.08438668,0.62496865,0.02
395,-0.045856234,0.64135844,0.02
396,0.047488287,0.66972864,0.02
397,-0.021444244,0.61236906,0.02
398,-0.08727229,0.6950529,0.02
399,0.09885136,0.67847985,0.02
400,0.05523082,0.6404736,0.02
401,0.09761687,0.6084011,0.02
402,-0.039912395,0.67606866,0.02
403,0.043408275,0.6431156,0.02
404,-0.0055675893,0.60062474,0.02
405,0.049783777,0.62119263,0.02
406,0.030277526,0.6551361,0.02
407,-0.041849356,0.6469995,0.02
408,0.081651166,0.68875813,0.02
409,-0.06589552,0.64724827,0.02
410,-0.06905555,0.69900537,0.02
411,0.043941744,0.6403888,0.02
412,0.05803829,0.67476916,0.02
413,0.029695202,0.69511634,0.02
414,-0.053129733,0.6191875,0.02
415,0.04284102,0.6854051,0.02
416,-0.037253156,0.6877719,0.02
417,-0.06074115,0.64250743,0.02
418,0.089972585,0.6073948,0.02
419,-0.064853214,0.6880598,0.02
420,-0.029496258,0.60675377,0.02
421,-0.03340924,0.6742609,0.02
422,0.075507015,0.6732233,0.02
423,0.026088588,0.64169794,0.02
424,-0.07386804,0.6540904,0.02
425,-0.0033596982,0.65625584,0.02
426,-0.042782288,0.62268955,0.02
427,-0.07924545,0.6251503,0.02
428,-0.056412544,0.68345195,0.02
429,0.053877044,0.6522467,0.02
430,-0.036894605,0.66263014,0.02
431,-0.09199645,0.6635769,0.02
432,0.053324573,0.60328054,0.02
433,0.029590132,0.6239265,0.02
434,0.08925385,0.61584544,0.02
435,0.07834791,0.68096167,0.02
436,0.028479936,0.6245189,0.02
437,-0.08584388,0.6867977,0.02
438,0.09444868,0.63843435,0.02
439,-0.030042224,0.6558903,0.02
440,-0.06942853,0.6175015,0.02
441,-0.03606947,0.6226863,0.02
442,0.07786888,0.62622756,0.02
443,0.03819301,0.61815387,0.02
444,0.08355929,0.67548203,0.02
445,-0.09688,0.67581785,0.02
446,0.021028845,0.6478229,0.02
447,0.028978676,0.61857736,0.02
448,-0.078347415,0.623968,0.02
449,0.06263535,0.6686086,0.02
450,0.08646266,0.6916138,0.02
451,0.082640246,0.637747,0.02
452,-0.093557246,0.6463981,0.02
453,0.07771007,0.6512572,0.02
454,0.04092859,0.6820634,0.02
455,-0.03625024,0.65792507,0.02
456,0.07714038,0.6759117,0.02
457,0.045635182,0.60883546,0.02
458,-0.014452015,0.6725335,0.02
459,0.0969556,0.6980122,0.02
460,0.023416253,0.6975969,0.02
461,-0.055097904,0.6184351,0.02
462,0.015456777,0.66950816,0.02
463,-0.09178442,0.65618527,0.02
464,-0.06125272,0.65596735,0.02
465,0.05904402,0.6943622,0.02
466,0.06027995,0.6058738,0.02
467,0.04916896,0.69516635,0.02
468,0.09236206,0.6923906,0.02
469,0.034847464,0.6258385,0.02
470,0.039288577,0.6262078,0.02
471,0.06857068,0.67201954,0.02
472,0.01780841,0.61978817,0.02
473,-0.0031341142,0.60064787,0.02
474,0.059906937,0.63820904,0.02
475,0.0957262,0.6951511,0.02
476,-0.0357648,0.6437038,0.02
477,0.056474317,0.6540595,0.02
478,-0.055103686,0.61703473,0.02
479,0.011665864,0.643189,0.02
480,0.09474512,0.6658207,0.02
481,-0.02827212,0.6476605,0.02
482,-0.0761779,0.6518996,0.02
483,0.008771374,0.6078344,0.02
484,0.030719532,0.6487017,0.02
485,-0.096089296,0.6541623,0.02
486,-0.017010724,0.6730733,0.02
487,0.07362016,0.6810987,0.02
488,0.059444763,0.6057729,0.02
489,0.04208086,0.65322024,0.02
490,0.07741443,0.63137466,0.02
491,0.0030209646,0.63999593,0.02
492,-0.037717786,0.6288871,0.02
493,0.047578227,0.6516116,0.02
494,0.026058309,0.6932983,0.02
495,0.09221665,0.6507119,0.02
496,0.016810758,0.6524454,0.02
497,0.055876046,0.6173971,0.02
498,-0.040953275,0.63462937,0.02
499,-0.09252614,0.67347187,0.02
